FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-08-31;EDAR CIUDAD RODRIGO;POSITIVO;Disminución significativa;
2021-08-31;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-08-31;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución;
2021-08-31;EDAR PALENCIA;NEGATIVO;S/D;
2021-08-31;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-08-31;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-31;EDAR ZAMORA;NEGATIVO;S/D;
2021-08-31;EDAR SORIA (VATAR);POSITIVO;Aumento;Hubo precipitaciones el día anterior (6 mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-08-31;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-08-31;EDAR ASTORGA;NEGATIVO;S/D;
2021-08-31;EDAR BÉJAR;POSITIVO;Estable;
2021-08-31;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-31;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-08-31;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-31;EDAR BENAVENTE;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-31;EDAR BURGOS;POSITIVO;Disminución;
2021-08-31;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-29;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-08-25;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-08-24;EDAR SALAMANCA;NEGATIVO;S/D;
2021-08-24;EDAR ZAMORA;NEGATIVO;S/D;
2021-08-24;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-08-24;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-08-24;EDAR PALENCIA;NEGATIVO;S/D;
2021-08-24;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-24;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento significativo;
2021-08-24;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-24;EDAR LA BAÑEZA;POSITIVO;Aumento;
2021-08-24;COLECTOR LEÓN;NEGATIVO;S/D;
2021-08-24;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-24;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-24;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-08-24;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-08-24;EDAR ARANDA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-08-24;EDAR ASTORGA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-08-24;EDAR BÉJAR;POSITIVO;Estable;
2021-08-24;EDAR BENAVENTE;NEGATIVO;S/D;
2021-08-24;EDAR BURGOS;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-24;EDAR CIUDAD RODRIGO;POSITIVO;Estable;
2021-08-24;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-22;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-08-18;EDAR SEGOVIA (VATAR);POSITIVO;Disminución;
2021-08-17;EDAR SALAMANCA;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-17;EDAR ZAMORA;POSITIVO;Disminución significativa;
2021-08-17;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-17;EDAR BENAVENTE;POSITIVO;Disminución significativa;
2021-08-17;EDAR LA BAÑEZA;POSITIVO;Disminución significativa;
2021-08-17;COLECTOR LEÓN;POSITIVO;Disminución;
2021-08-17;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-08-17;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-17;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-08-17;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-17;EDAR SORIA (VATAR);POSITIVO;Disminución;
2021-08-17;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-08-17;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Disminución;
2021-08-17;EDAR ASTORGA;NEGATIVO;S/D;
2021-08-17;EDAR BÉJAR;POSITIVO;Disminución;
2021-08-17;EDAR CIUDAD RODRIGO;POSITIVO;Aumento;
2021-08-17;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-17;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-17;EDAR PALENCIA;POSITIVO;Estable;
2021-08-17;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-08-17;EDAR BURGOS;NEGATIVO;S/D;
2021-08-15;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-08-11;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-08-10;EDAR PALENCIA;POSITIVO;Estable;
2021-08-10;EDAR SALAMANCA;NEGATIVO;S/D;
2021-08-10;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-08-10;EDAR ZAMORA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-08-10;EDAR ÁVILA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-08-10;EDAR BENAVENTE;POSITIVO;Aumento;
2021-08-10;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-08-10;COLECTOR LEÓN;POSITIVO;Estable;
2021-08-10;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-08-10;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-08-10;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-08-10;EDAR BURGOS;POSITIVO;Estable;
2021-08-10;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-08-10;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-10;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-08-10;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-08-10;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-08-10;EDAR ASTORGA;NEGATIVO;S/D;
2021-08-10;EDAR BÉJAR;POSITIVO;Estable;
2021-08-10;EDAR CIUDAD RODRIGO;POSITIVO;Estable;
2021-08-10;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-08-08;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-08-04;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-08-03;COLECTOR LEÓN;NEGATIVO;S/D;
2021-08-03;EDAR MIRANDA DE EBRO;POSITIVO;Aumento significativo;
2021-08-03;EDAR PONFERRADA;NEGATIVO;S/D;
2021-08-03;EDAR SALAMANCA;POSITIVO;Estable;
2021-08-03;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-08-03;EDAR ZAMORA;NEGATIVO;S/D;
2021-08-03;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-08-03;EDAR BÉJAR;POSITIVO;Disminución;
2021-08-03;EDAR BENAVENTE;POSITIVO;Estable;
2021-08-03;EDAR BURGOS;POSITIVO;Disminución significativa;
2021-08-03;EDAR CIUDAD RODRIGO;POSITIVO;Disminución;
2021-08-03;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-08-03;EBAR LAGUNA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-08-03;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-08-03;EDAR PALENCIA;POSITIVO;Disminución significativa;
2021-08-03;COLECTOR VILLAQUILAMBRE;POSITIVO;Estable;
2021-08-03;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-08-03;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-08-03;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-08-03;EDAR ASTORGA;NEGATIVO;S/D;
2021-08-03;EDAR ÁVILA;NEGATIVO;S/D;
2021-08-01;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-07-28;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-07-27;COLECTOR LEÓN;POSITIVO;Estable;
2021-07-27;EDAR MIRANDA DE EBRO;POSITIVO;Aumento significativo;
2021-07-27;EDAR PONFERRADA;NEGATIVO;S/D;
2021-07-27;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-07-27;EDAR ASTORGA;NEGATIVO;S/D;
2021-07-27;EDAR CIUDAD RODRIGO;POSITIVO;Disminución;
2021-07-27;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución significativa;
2021-07-27;EDAR PALENCIA;POSITIVO;Aumento;
2021-07-27;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-07-27;COLECTOR VILLAQUILAMBRE;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-27;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (3mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-07-27;EDAR ÁVILA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-07-27;EDAR BÉJAR;POSITIVO;Aumento significativo;
2021-07-27;EDAR SALAMANCA;POSITIVO;Aumento;
2021-07-27;EDAR ZAMORA;NEGATIVO;S/D;
2021-07-27;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-07-27;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-07-27;EDAR BENAVENTE;POSITIVO;Estable;
2021-07-27;EDAR BURGOS;POSITIVO;Aumento significativo;
2021-07-27;EDAR LA BAÑEZA;POSITIVO;Aumento significativo;
2021-07-27;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-07-25;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-07-21;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-07-20;EDAR MIRANDA DE EBRO;POSITIVO;Estable;
2021-07-20;EDAR PONFERRADA;NEGATIVO;S/D;
2021-07-20;EDAR SALAMANCA;POSITIVO;Disminución significativa;
2021-07-20;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-07-20;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-07-20;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-07-20;EDAR ASTORGA;POSITIVO;Estable;
2021-07-20;EDAR BÉJAR;POSITIVO;Disminución;
2021-07-20;EDAR BURGOS;POSITIVO;Estable;
2021-07-20;EDAR CIUDAD RODRIGO;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-20;EDAR LA BAÑEZA;NEGATIVO;Disminución;
2021-07-20;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-07-20;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-07-20;EDAR SORIA (VATAR);POSITIVO;Aumento;
2021-07-20;EDAR ÁVILA;NEGATIVO;S/D;
2021-07-20;EDAR BENAVENTE;POSITIVO;Estable;
2021-07-20;COLECTOR LEÓN;POSITIVO;Estable;
2021-07-20;EDAR PALENCIA;POSITIVO;Aumento;
2021-07-20;EDAR ZAMORA;POSITIVO;Estable;
2021-07-20;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-07-20;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-18;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-07-14;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-07-13;COLECTOR LEÓN;POSITIVO;Disminución;
2021-07-13;EDAR PONFERRADA;NEGATIVO;S/D;
2021-07-13;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-07-13;EDAR ARANDA DE DUERO;PRESUNTO POSITIVO;Estable;
2021-07-13;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-07-13;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-07-13;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-07-13;EDAR PALENCIA;POSITIVO;Aumento;
2021-07-13;EDAR SALAMANCA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-13;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Estable;
2021-07-13;EDAR ASTORGA;POSITIVO;Estable;
2021-07-13;EDAR ÁVILA;NEGATIVO;S/D;
2021-07-13;EDAR BÉJAR;POSITIVO;Estable;
2021-07-13;EDAR BENAVENTE;POSITIVO;Aumento;
2021-07-13;EDAR BURGOS;POSITIVO;Disminución;
2021-07-13;EDAR LA BAÑEZA;POSITIVO;Aumento;
2021-07-13;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento significativo;
2021-07-13;EDAR MIRANDA DE EBRO;POSITIVO;Estable;
2021-07-13;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-07-13;COLECTOR VILLAQUILAMBRE;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-13;EDAR ZAMORA;POSITIVO;Aumento;
2021-07-11;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-07-07;EDAR SEGOVIA (VATAR);POSITIVO;Aumento significativo;Hubo precipitaciones el día anterior del muestreo (4,6mm), pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Además, se detectó un posible vertido en el influente de entrada a la EDAR. Este hecho podría haber tenido influencia asimismo en la detección y/o cuantificación de SARS-CoV-2.
2021-07-06;COLECTOR LEÓN;POSITIVO;Aumento significativo;
2021-07-06;EDAR PALENCIA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-06;EDAR PONFERRADA;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-06;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-07-06;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-07-06;EDAR SORIA (VATAR);POSITIVO;Aumento significativo;
2021-07-06;EDAR ARANDA DE DUERO;POSITIVO;Estable;
2021-07-06;EDAR BURGOS;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-06;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-07-06;EDAR MIRANDA DE EBRO;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-06;EDAR SALAMANCA;NEGATIVO;S/D;
2021-07-06;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-06;EDAR ASTORGA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-07-06;EDAR ÁVILA;NEGATIVO;S/D;
2021-07-06;EDAR BENAVENTE;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-07-06;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-07-06;EDAR ZAMORA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-07-06;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-07-06;EDAR BÉJAR;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-07-06;EDAR CIUDAD RODRIGO;POSITIVO;Estable;
2021-07-06;EDAR LA BAÑEZA;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-07-04;EDAR VALLADOLID (VATAR);POSITIVO;Aumento significativo;
2021-06-30;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-06-29;EDAR SORIA (VATAR);POSITIVO;Estable;
2021-06-29;EDAR ASTORGA;NEGATIVO;S/D;
2021-06-29;EDAR ÁVILA;NEGATIVO;S/D;
2021-06-29;EDAR PONFERRADA;NEGATIVO;S/D;
2021-06-29;EDAR SALAMANCA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-29;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-06-29;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-06-29;EDAR ARANDA DE DUERO;PRESUNTO POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-29;EDAR CIUDAD RODRIGO;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-29;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-06-29;COLECTOR LEÓN;POSITIVO;Estable;
2021-06-29;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución significativa;
2021-06-29;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-06-29;EDAR PALENCIA;NEGATIVO;S/D;
2021-06-29;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-06-29;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-06-29;EDAR BÉJAR;NEGATIVO;S/D;
2021-06-29;EDAR BENAVENTE;NEGATIVO;S/D;
2021-06-29;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-06-28;EDAR BURGOS;NEGATIVO;S/D;
2021-06-28;EDAR ZAMORA;NEGATIVO;S/D;
2021-06-27;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-06-23;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (8,6mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-06-22;EDAR SALAMANCA;NEGATIVO;S/D;
2021-06-22;EDAR SORIA (VATAR);NEGATIVO;S/D;Hubo precipitaciones el día anterior (0,4mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-06-22;EDAR ÁVILA;PRESUNTO POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-22;EDAR BENAVENTE;NEGATIVO;S/D;
2021-06-22;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento significativo;
2021-06-22;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-06-22;EDAR PONFERRADA;NEGATIVO;S/D;
2021-06-22;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-06-22;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-06-22;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-06-22;EDAR ASTORGA;NEGATIVO;S/D;
2021-06-22;EDAR BURGOS;PRESUNTO POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-22;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-06-22;EDAR LA BAÑEZA;POSITIVO;Aumento significativo;
2021-06-22;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-06-22;COLECTOR LEÓN;PRESUNTO POSITIVO;Disminución significativa;
2021-06-22;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-06-22;EDAR ZAMORA;NEGATIVO;S/D;
2021-06-22;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-06-22;EDAR BÉJAR;NEGATIVO;S/D;
2021-06-20;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-06-16;EDAR SEGOVIA (VATAR);POSITIVO;Disminución;Hubo precipitaciones el mismo día (0,2mm) y el día anterior (0,4mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Además, el horario de muestreo se retrasó aproximadamente media hora respecto del habitual, debido a que se detectó un posible vertido en el influente de entrada a la EDAR. Este hecho podría haber tenido influencia asimismo en la detección y/o cuantificación de SARS-CoV-2.
2021-06-15;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-06-15;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (3,8mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-06-15;EDAR ÁVILA;NEGATIVO;S/D;
2021-06-15;EDAR BURGOS;NEGATIVO;S/D;
2021-06-15;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-06-15;COLECTOR LEÓN;POSITIVO;Estable;
2021-06-15;EDAR MEDINA DEL CAMPO;PRESUNTO POSITIVO;Disminución significativa;
2021-06-15;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-06-15;EDAR ZAMORA;NEGATIVO;S/D;
2021-06-15;EDAR ARANDA DE DUERO;POSITIVO;Estable;
2021-06-15;EDAR LA BAÑEZA;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-15;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-06-15;EDAR PALENCIA;NEGATIVO;S/D;
2021-06-15;EDAR PONFERRADA;NEGATIVO;S/D;
2021-06-15;EDAR SALAMANCA;NEGATIVO;S/D;
2021-06-15;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-06-15;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-06-15;EDAR ASTORGA;NEGATIVO;S/D;
2021-06-15;EDAR BÉJAR;NEGATIVO;S/D;
2021-06-15;EDAR BENAVENTE;NEGATIVO;S/D;
2021-06-15;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-06-13;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;Hubo precipitaciones el mismo día (0,2mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-06-09;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-06-08;EDAR MIRANDA DE EBRO;POSITIVO;Disminución;
2021-06-08;EDAR PALENCIA;POSITIVO;Disminución;
2021-06-08;EDAR PONFERRADA;NEGATIVO;S/D;
2021-06-08;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-06-08;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-06-08;EDAR ASTORGA;NEGATIVO;S/D;
2021-06-08;EDAR BÉJAR;NEGATIVO;S/D;
