FECHA RECOGIDA MUESTRA;EDAR;RESULTADO SARS-COV-2;VARIACIÓN;OBSERVACIONES
2021-06-08;COLECTOR LEÓN;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-08;EDAR SALAMANCA;POSITIVO;Estable;
2021-06-08;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-06-08;EDAR ZAMORA;POSITIVO;Aumento;
2021-06-08;EDAR SORIA (VATAR);POSITIVO;Aumento significativo;
2021-06-08;EDAR ARANDA DE DUERO;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-08;EDAR ÁVILA;POSITIVO;Estable;
2021-06-08;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-08;EBAR SANTA MARTA DE TORMES;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-08;EDAR BENAVENTE;NEGATIVO;S/D;
2021-06-08;EDAR BURGOS;POSITIVO;Estable;
2021-06-08;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-06-08;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-06-08;EBAR LAGUNA DE DUERO;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-06;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-06-02;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (0,2mm) y el día anterior (11,6mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-06-01;COLECTOR LEÓN;NEGATIVO;S/D;
2021-06-01;EDAR MIRANDA DE EBRO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-01;EDAR PONFERRADA;NEGATIVO;S/D;
2021-06-01;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-06-01;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-06-01;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;
2021-06-01;EDAR CIUDAD RODRIGO;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-06-01;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-06-01;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-06-01;EDAR MEDINA DEL CAMPO;NEGATIVO;S/D;
2021-06-01;EDAR ZAMORA;POSITIVO;Disminución significativa;
2021-06-01;EDAR BENAVENTE;NEGATIVO;S/D;
2021-06-01;EDAR BURGOS;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-06-01;EDAR PALENCIA;POSITIVO;Estable;
2021-06-01;EDAR SALAMANCA;POSITIVO;Estable;
2021-06-01;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-06-01;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (9mm) y el día anterior (2,8mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-06-01;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-06-01;EDAR ASTORGA;NEGATIVO;S/D;
2021-06-01;EDAR ÁVILA;POSITIVO;Disminución significativa;
2021-06-01;EDAR BÉJAR;NEGATIVO;S/D;
2021-05-30;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (1,4mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-05-26;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-05-26;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-05-25;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución;
2021-05-25;EDAR PONFERRADA;NEGATIVO;S/D;
2021-05-25;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-05-25;EDAR ZAMORA;POSITIVO;Estable;
2021-05-25;EDAR ÁVILA;POSITIVO;Estable;
2021-05-25;EDAR BÉJAR;NEGATIVO;S/D;
2021-05-25;EDAR BURGOS;NEGATIVO;S/D;
2021-05-25;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-05-25;COLECTOR LEÓN;NEGATIVO;S/D;
2021-05-25;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-05-25;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-05-25;EBAR LAGUNA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-05-25;EDAR PALENCIA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-25;EDAR SALAMANCA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-25;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-05-25;EDAR SORIA (VATAR);POSITIVO;Disminución significativa;
2021-05-25;EDAR ARANDA DE DUERO;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-05-25;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-25;EDAR ASTORGA;POSITIVO;Estable;
2021-05-25;EDAR BENAVENTE;NEGATIVO;S/D;
2021-05-23;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-05-19;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-05-18;EDAR PALENCIA;NEGATIVO;S/D;
2021-05-18;EDAR SALAMANCA;NEGATIVO;S/D;
2021-05-18;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-05-18;EDAR ZAMORA;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-18;EDAR BÉJAR;NEGATIVO;S/D;
2021-05-18;EDAR LA BAÑEZA;POSITIVO;Disminución significativa;
2021-05-18;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-05-18;COLECTOR LEÓN;NEGATIVO;S/D;
2021-05-18;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-05-18;EDAR PONFERRADA;NEGATIVO;S/D;
2021-05-18;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-05-18;EDAR SORIA (VATAR);POSITIVO;Aumento;
2021-05-18;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-05-18;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-05-18;EDAR BENAVENTE;NEGATIVO;S/D;
2021-05-18;EDAR BURGOS;POSITIVO;Disminución;
2021-05-18;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-05-18;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-05-18;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-05-18;EDAR ASTORGA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-05-18;EDAR ÁVILA;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-16;EDAR VALLADOLID (VATAR);POSITIVO;Aumento;
2021-05-12;EDAR SEGOVIA (VATAR);POSITIVO;Disminución;Hubo precipitaciones el mismo día (1,4mm) y el día anterior (1mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-05-11;COLECTOR LEÓN;POSITIVO;Disminución;
2021-05-11;EDAR MIRANDA DE EBRO;POSITIVO;Aumento significativo;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-11;EDAR PALENCIA;POSITIVO;Aumento;
2021-05-11;EDAR PONFERRADA;NEGATIVO;S/D;
2021-05-11;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-05-11;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-05-11;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-05-11;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-05-11;EDAR ÁVILA;NEGATIVO;S/D;
2021-05-11;EDAR BENAVENTE;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-05-11;EDAR CIUDAD RODRIGO;POSITIVO;Aumento;
2021-05-11;EDAR LA BAÑEZA;POSITIVO;Aumento;
2021-05-11;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-05-11;EDAR SALAMANCA;POSITIVO;Estable;
2021-05-11;EDAR ZAMORA;NEGATIVO;S/D;
2021-05-11;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (0,4mm) y el día anterior (7,6mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2.
2021-05-11;EBAR ARROYO DE LA ENCOMIENDA;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-11;EDAR BÉJAR;NEGATIVO;S/D;
2021-05-11;EDAR BURGOS;POSITIVO;Estable;
2021-05-11;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento;
2021-05-11;EDAR ASTORGA;NEGATIVO;S/D;
2021-05-09;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;
2021-05-05;EDAR SEGOVIA (VATAR);POSITIVO;Estable;
2021-05-04;COLECTOR LEÓN;POSITIVO;Aumento;
2021-05-04;EDAR PALENCIA;POSITIVO;Estable;
2021-05-04;EDAR SALAMANCA;POSITIVO;Disminución significativa;
2021-05-04;COLECTOR SAN ANDRÉS DE RABANEDO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-05-04;EBAR SANTA MARTA DE TORMES;POSITIVO;Estable;
2021-05-04;EDAR ASTORGA;NEGATIVO;S/D;
2021-05-04;EDAR ÁVILA;POSITIVO;Estable;
2021-05-04;EDAR BURGOS;POSITIVO;Estable;
2021-05-04;EDAR LA BAÑEZA;POSITIVO;Aumento significativo;
2021-05-04;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-05-04;EDAR PONFERRADA;NEGATIVO;S/D;
2021-05-04;EDAR SORIA (VATAR);POSITIVO;Disminución;Hubo precipitaciones el día anterior (8mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2
2021-05-04;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-05-04;EDAR CIUDAD RODRIGO;POSITIVO;Disminución;
2021-05-04;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución;
2021-05-04;EDAR MIRANDA DE EBRO;NEGATIVO;S/D;
2021-05-04;COLECTOR VILLAQUILAMBRE;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-05-04;EDAR ZAMORA;POSITIVO;Estable;
2021-05-04;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-05-04;EDAR BÉJAR;NEGATIVO;S/D;
2021-05-04;EDAR BENAVENTE;NEGATIVO;S/D;
2021-05-02;EDAR VALLADOLID (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (1mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-04-28;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (0,2mm) y el día anterior (10,8mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-04-27;COLECTOR LEÓN;POSITIVO;Disminución;
2021-04-27;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-04-27;EBAR ARROYO DE LA ENCOMIENDA;PRESUNTO POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-04-27;EDAR ASTORGA;NEGATIVO;S/D;
2021-04-27;EDAR ÁVILA;POSITIVO;Aumento;
2021-04-27;EDAR CIUDAD RODRIGO;POSITIVO;Estable;
2021-04-27;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-04-27;EBAR LAGUNA DE DUERO;POSITIVO;Estable;
2021-04-27;EDAR MIRANDA DE EBRO;POSITIVO;Disminución significativa;
2021-04-27;EDAR SALAMANCA;POSITIVO;Estable;
2021-04-27;EBAR SANTA MARTA DE TORMES;POSITIVO;Disminución;
2021-04-27;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-04-27;EDAR BÉJAR;NEGATIVO;S/D;
2021-04-27;EDAR BENAVENTE;NEGATIVO;S/D;
2021-04-27;EDAR BURGOS;POSITIVO;Aumento significativo;
2021-04-27;EDAR MEDINA DEL CAMPO;POSITIVO;Estable;
2021-04-27;EDAR PALENCIA;POSITIVO;Estable;
2021-04-27;EDAR PONFERRADA;POSITIVO;Aumento significativo;
2021-04-27;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-04-27;EDAR ZAMORA;POSITIVO;Disminución significativa;
2021-04-27;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (9,8mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2
2021-04-25;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-04-21;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (0,4mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. 2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-04-20;EDAR PALENCIA;POSITIVO;Estable;
2021-04-20;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-04-20;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-04-20;EDAR BENAVENTE;POSITIVO;Aumento;
2021-04-20;EDAR LA BAÑEZA;PRESUNTO POSITIVO;Disminución;
2021-04-20;EDAR PONFERRADA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-20;COLECTOR VILLAQUILAMBRE;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-20;EDAR SORIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el mismo día (1,4mm) del muestreo, pudiendo haber diluido la muestra, disminuyendo la cuantificación de SARS-CoV-2. 2. Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-04-20;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-04-20;EDAR ÁVILA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-20;EDAR BURGOS;POSITIVO;Disminución;
2021-04-20;EDAR CIUDAD RODRIGO;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-20;EBAR LAGUNA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-04-20;COLECTOR LEÓN;POSITIVO;Aumento;
2021-04-20;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento significativo;
2021-04-20;EDAR MIRANDA DE EBRO;POSITIVO;Aumento;
2021-04-20;EDAR SALAMANCA;POSITIVO;Estable;
2021-04-20;EBAR SANTA MARTA DE TORMES;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-20;EDAR ZAMORA;POSITIVO;Aumento significativo;
2021-04-20;EDAR BÉJAR;POSITIVO;Disminución;
2021-04-18;EDAR VALLADOLID (VATAR);POSITIVO;Estable;
2021-04-14;EBAR SANTA MARTA DE TORMES;NEGATIVO;S/D;
2021-04-14;COLECTOR VILLAQUILAMBRE;NEGATIVO;S/D;
2021-04-14;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-04-14;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-04-14;EDAR ASTORGA;NEGATIVO;S/D;
2021-04-14;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución significativa;
2021-04-14;EDAR MIRANDA DE EBRO;POSITIVO;Disminución significativa;
2021-04-14;EDAR SALAMANCA;POSITIVO;Disminución;
2021-04-14;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Hubo precipitaciones el día anterior (3,6mm) del muestreo, pudiendo haber diluido la muestra ligeramente, disminuyendo la cuantificación de SARS-CoV-2
2021-04-14;EDAR ÁVILA;NEGATIVO;S/D;
2021-04-14;EDAR BÉJAR;POSITIVO;Disminución;
2021-04-14;EDAR CIUDAD RODRIGO;NEGATIVO;S/D;
2021-04-14;EDAR LA BAÑEZA;NEGATIVO;S/D;
2021-04-14;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-04-14;COLECTOR LEÓN;POSITIVO;Estable;
2021-04-14;EDAR PALENCIA;POSITIVO;Estable;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-14;EDAR PONFERRADA;NEGATIVO;S/D;
2021-04-14;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-04-14;EDAR ZAMORA;POSITIVO;Disminución significativa;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-14;EDAR BENAVENTE;POSITIVO;Disminución;
2021-04-14;EDAR BURGOS;POSITIVO;Estable;
2021-04-13;EDAR BENAVENTE;POSITIVO;Aumento significativo;
2021-04-13;EDAR SORIA (VATAR);POSITIVO;Disminución;
2021-04-13;EDAR ASTORGA;NEGATIVO;S/D;
2021-04-12;COLECTOR LEÓN;POSITIVO;Aumento;
2021-04-12;EDAR MIRANDA DE EBRO;POSITIVO;Estable;
2021-04-12;EBAR SANTA MARTA DE TORMES;POSITIVO;Estable;
2021-04-12;EDAR ZAMORA;NEGATIVO;S/D;
2021-04-12;EDAR ÁVILA;POSITIVO;Aumento;
2021-04-12;EDAR BÉJAR;POSITIVO;Aumento significativo;
2021-04-12;EBAR LAGUNA DE DUERO;NEGATIVO;S/D;
2021-04-12;EDAR BURGOS;POSITIVO;Disminución significativa;
2021-04-12;EDAR MEDINA DEL CAMPO;POSITIVO;Aumento significativo;
2021-04-12;EDAR PALENCIA;NEGATIVO;S/D;
2021-04-12;EDAR PONFERRADA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-04-12;EDAR SALAMANCA;POSITIVO;Estable;
2021-04-12;COLECTOR SAN ANDRÉS DE RABANEDO;NEGATIVO;S/D;
2021-04-12;COLECTOR VILLAQUILAMBRE;POSITIVO;Estable;
2021-04-12;EDAR ARANDA DE DUERO;NEGATIVO;S/D;
2021-04-12;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-04-12;EDAR CIUDAD RODRIGO;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-12;EDAR LA BAÑEZA;POSITIVO;Estable;
2021-04-11;EDAR VALLADOLID (VATAR);POSITIVO;Disminución;Hubo precipitaciones el mismo día (2,8mm) y el día anterior (12,6mm) del muestreo, pudiendo haber diluido la muestra ligeramente, disminuyendo la cuantificación de SARS-CoV-2
2021-04-07;EDAR MEDINA DEL CAMPO;POSITIVO;Disminución;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-07;EDAR PONFERRADA;NEGATIVO;S/D;
2021-04-07;EDAR SALAMANCA;POSITIVO;Estable;
2021-04-07;EDAR ASTORGA;POSITIVO;Aumento;Se calcula la variación respecto a la semana previa a la anterior, al no tener cuantificación la inmediatamente anterior.
2021-04-07;EDAR BÉJAR;POSITIVO;Disminución;
2021-04-07;EDAR BURGOS;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-04-07;EBAR LAGUNA DE DUERO;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-04-07;COLECTOR LEÓN;POSITIVO;Disminución;
2021-04-07;EBAR SANTA MARTA DE TORMES;POSITIVO;Aumento;
2021-04-07;COLECTOR VILLAQUILAMBRE;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas muestras se ha obtenido un resultado negativo.
2021-04-07;EDAR ZAMORA;POSITIVO;Aumento significativo;
2021-04-07;EDAR SEGOVIA (VATAR);POSITIVO;Estable;Disparidad significativa en la variación entre las distintas dianas analizadas. Por ello, hay que tomarse este resultado de variación con cautela hasta que pueda confirmarse la tendencia en la semana siguiente.
2021-04-07;EBAR ARROYO DE LA ENCOMIENDA;NEGATIVO;S/D;
2021-04-07;EDAR ÁVILA;POSITIVO;Aumento;Se considera una evolución en aumento puesto que al menos en las dos últimas semanas se ha obtenido un resultado negativo.
2021-04-07;EDAR MIRANDA DE EBRO;POSITIVO;Aumento significativo;
2021-04-07;EDAR PALENCIA;POSITIVO;Disminución;
